Symbol,Name,Industry,Sector
RUN,Sunrun Inc,재생 가능 에너지 장비 및 서비스,ENERGY
APLS,Apellis Pharmaceuticals Inc,제약,HEALTH
SHC,Sotera Health Co,의료 시설 및 서비스,HEALTH
CNXC,Concentrix Corp,경영 지원 서비스,CS
CRSP,CRISPR Therapeutics AG,생명 공학 및 의학 연구,HEALTH
AXSM,Axsome Therapeutics Inc,제약,HEALTH
VLY,Valley National Bancorp,은행,FINANCIAL
IMVT,Immunovant Inc,생명 공학 및 의학 연구,HEALTH
BLKB,Blackbaud Inc,소프트웨어,IT
PI,Impinj Inc,반도체,IT
CAMT,Camtek Ltd,반도체 장비 및 테스트,IT
SBRA,Sabra Health Care REIT Inc,특수 REITs,REAL_ESTATE
LOT,Lotus Technology Inc ADR,자동차 및 트럭 제조,INDUSTRIAL
GBDC,Golub Capital BDC Inc,투자 관리 및 펀드 운영,FINANCIAL
CRNX,Crinetics Pharmaceuticals Inc,생명 공학 및 의학 연구,HEALTH
BRZE,Braze Inc,소프트웨어,IT
YNDX,Yandex NV,온라인 서비스,IT
STNE,StoneCo Ltd,핀테크,FINANCIAL
OTTR,Otter Tail Corp,전력 유틸리티,UTILITY
FROG,Jfrog Ltd,소프트웨어,IT
SANM,Sanmina Corp,전자 장비 및 부품,IT
SGRY,Surgery Partners Inc,의료 시설 및 서비스,HEALTH
